PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00068;;;;;;;;;-0.074848;0.344578;-0.862046;-0.753273;-0.338185;-0.730703
00069;;;;;;;;;-0.067793;0.336043;-0.861881;-0.752931;-0.337748;-0.735692
00070;;;;;;;;;-0.070283;0.342490;-0.857778;-0.753262;-0.337787;-0.738845
00071;;;;;;;;;-0.081494;0.342298;-0.861993;-0.753661;-0.337915;-0.740065
00072;;;;;;;;;-0.072608;0.344614;-0.857818;-0.753408;-0.338117;-0.745002
00073;;;;;;;;;-0.072445;0.340286;-0.855616;-0.753613;-0.337161;-0.751532
00074;;;;;;;;;-0.074768;0.342412;-0.857772;-0.753819;-0.336929;-0.754008
00075;;;;;;;;;-0.076929;0.340210;-0.857725;-0.754031;-0.338389;-0.757679
00076;;;;;;;;;-0.070364;0.344655;-0.859937;-0.754490;-0.337754;-0.761720
00077;;;;;;;;;-0.074684;0.340253;-0.864074;-0.754985;-0.338244;-0.765301
00078;;;;;;;;;-0.077094;0.344534;-0.855697;-0.754235;-0.337624;-0.768309
00079;;;;;;;;;-0.072690;0.346777;-0.857862;-0.754763;-0.336485;-0.771864
00080;;;;;;;;;-0.072608;0.344614;-0.857818;-0.754948;-0.336343;-0.776122
00081;;;;;;;;;-0.077011;0.342373;-0.857769;-0.753952;-0.335812;-0.779504
00082;;;;;;;;;-0.079334;0.344498;-0.859925;-0.754477;-0.336528;-0.783513
00083;;;;;;;;;-0.076847;0.338047;-0.857682;-0.755270;-0.336328;-0.788769
00084;;;;;;;;;-0.072524;0.342454;-0.862005;-0.755112;-0.336032;-0.792733
00085;;;;;;;;;-0.074686;0.340250;-0.859844;-0.754897;-0.335161;-0.796012
00086;;;;;;;;;-0.072526;0.342451;-0.857775;-0.754707;-0.334520;-0.798490
00087;;;;;;;;;-0.076846;0.338048;-0.859797;-0.754032;-0.334019;-0.802645
00088;;;;;;;;;-0.077012;0.342371;-0.855653;-0.753634;-0.333937;-0.805875
00089;;;;;;;;;-0.072691;0.346776;-0.855747;-0.753588;-0.333347;-0.810966
00090;;;;;;;;;-0.079254;0.342332;-0.855650;-0.753256;-0.333798;-0.815388
00091;;;;;;;;;-0.079253;0.342334;-0.857766;-0.754046;-0.333185;-0.817742
00092;;;;;;;;;-0.079172;0.340171;-0.857722;-0.753949;-0.332966;-0.823447
00093;;;;;;;;;-0.077011;0.342373;-0.857769;-0.753675;-0.332881;-0.826851
00094;;;;;;;;;-0.070118;0.338166;-0.859806;-0.753520;-0.332520;-0.830471
00095;;;;;;;;;-0.070120;0.338162;-0.855575;-0.753307;-0.332549;-0.833071
00096;;;;;;;;;-0.072441;0.340292;-0.864077;-0.752479;-0.332701;-0.834538
00097;;;;;;;;;-0.072442;0.340291;-0.861962;-0.752913;-0.332713;-0.838265
00098;;;;;;;;;-0.083821;0.344419;-0.857803;-0.752382;-0.331531;-0.842057
