PacketCounter;SampleTimeFine;Year;Month;Day;Second;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00059;331915;;;;;;;;;;;;;-0.098634;0.320324;-0.819225;-0.585381;-0.322590;-6.228804
00060;332015;;;;;;;;;;;;;-0.098305;0.311674;-0.821166;-0.586631;-0.322012;-6.247870
00061;332115;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.587208;-0.321175;-6.252214
00062;332215;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.587312;-0.319987;-6.260367
00063;332315;;;;;;;;;;;;;-0.098471;0.315997;-0.817023;-0.587632;-0.319482;-6.268371
00064;332415;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.587602;-0.318775;-6.271239
00065;332515;;;;;;;;;;;;;-0.102791;0.311595;-0.821160;-0.587081;-0.318972;-6.282865
00066;332615;;;;;;;;;;;;;-0.098387;0.313838;-0.823325;-0.587777;-0.318557;-6.291153
00067;332715;;;;;;;;;;;;;-0.098388;0.313835;-0.819094;-0.587554;-0.318644;-6.310638
00068;332815;;;;;;;;;;;;;-0.093903;0.313913;-0.819100;-0.587748;-0.318792;-6.307144
00069;332915;;;;;;;;;;;;;-0.100713;0.315959;-0.819135;-0.588745;-0.317465;-6.314863
00070;333015;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.588094;-0.316929;-6.308097
00071;333115;;;;;;;;;;;;;-0.096308;0.318203;-0.823416;-0.588365;-0.317063;-6.336022
00072;333215;;;;;;;;;;;;;-0.091743;0.316116;-0.819147;-0.588275;-0.317773;-6.340517
00073;333315;;;;;;;;;;;;;-0.100712;0.315961;-0.821250;-0.588003;-0.318248;-6.341267
00074;333415;;;;;;;;;;;;;-0.096143;0.313879;-0.825444;-0.589000;-0.317698;-6.335487
00075;333515;;;;;;;;;;;;;-0.100878;0.320284;-0.817107;-0.589529;-0.317268;-6.363676
00076;333615;;;;;;;;;;;;;-0.100631;0.313796;-0.819091;-0.589786;-0.316541;-6.361891
00077;333715;;;;;;;;;;;;;-0.098387;0.313838;-0.823325;-0.588522;-0.315925;-6.381020
00078;333815;;;;;;;;;;;;;-0.100633;0.313793;-0.814860;-0.588804;-0.316124;-6.392107
00079;333915;;;;;;;;;;;;;-0.098467;0.316003;-0.825484;-0.588435;-0.315738;-6.394928
00080;334015;;;;;;;;;;;;;-0.096224;0.316043;-0.827603;-0.588401;-0.315214;-6.411541
00081;334115;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.588187;-0.314950;-6.413592
00082;334215;;;;;;;;;;;;;-0.098387;0.313838;-0.823325;-0.588104;-0.314689;-6.413752
00083;334315;;;;;;;;;;;;;-0.098386;0.313840;-0.825440;-0.588261;-0.312608;-6.423689
00084;334415;;;;;;;;;;;;;-0.093982;0.316081;-0.825490;-0.587644;-0.311703;-6.441334
00085;334515;;;;;;;;;;;;;-0.102872;0.313760;-0.823319;-0.587537;-0.312003;-6.452542
00086;334615;;;;;;;;;;;;;-0.103033;0.318089;-0.827637;-0.586763;-0.311739;-6.444481
00087;334715;;;;;;;;;;;;;-0.100711;0.315962;-0.823366;-0.587348;-0.312888;-6.485043
00088;334815;;;;;;;;;;;;;-0.100710;0.315964;-0.825481;-0.586370;-0.313561;-6.500161
00089;334915;;;;;;;;;;;;;-0.100544;0.311641;-0.829625;-0.586525;-0.314191;-6.502528
00090;335015;;;;;;;;;;;;;-0.100464;0.309475;-0.825350;-0.586405;-0.313190;-6.514562
00091;335115;;;;;;;;;;;;;-0.098632;0.320327;-0.823456;-0.586528;-0.313367;-6.529831
00092;335215;;;;;;;;;;;;;-0.100712;0.315961;-0.821250;-0.586902;-0.313762;-6.545878
00093;335315;;;;;;;;;;;;;-0.093822;0.311749;-0.816941;-0.588510;-0.314297;-6.542373
00094;335415;;;;;;;;;;;;;-0.100794;0.318124;-0.821294;-0.587866;-0.314222;-6.571836
